Iteration,Loss,Accuracy
0,1.1081,0.2
100,1.0989,0.3
200,1.10168,0.3
300,1.08839,0.2
400,1.12084,0.3
500,1.1042,0.5
600,1.12098,0.3
700,1.05797,0.6
800,0.950246,0.9
900,1.02527,0.5
1000,0.958445,0.8
1100,0.928034,0.7
1200,0.967933,0.6
1300,0.996925,0.5
1400,1.10062,0.3
1500,0.880744,0.6
1600,0.935821,0.5
1700,0.86491,0.7
1800,0.882614,0.7
1900,1.09875,0.4
2000,0.948145,0.4
2100,0.892727,0.8
2200,0.595751,0.7
2300,1.10484,0.5
2400,0.771716,0.8
2500,0.48227,0.9
2600,0.423006,0.8
2700,0.83245,0.5
2800,0.845979,0.6
2900,0.93714,0.4
3000,0.728968,0.5
3100,0.897942,0.7
3200,0.738311,0.7
3300,0.661244,0.7
3400,0.714719,0.8
3500,0.568197,0.7
3600,0.577032,0.7
3700,0.552517,0.6
3800,1.31791,0.5
3900,0.611267,0.8
4000,0.642328,0.7
4100,0.465939,0.8
4200,0.729294,0.7
4300,0.388608,0.8
4400,0.318853,0.9
4500,0.48993,0.8
4600,0.679757,0.8
4700,0.791542,0.7
4800,1.636,0.5
4900,0.400983,0.8
5000,0.536261,0.7
5100,0.709503,0.5
5200,1.04883,0.7
5300,0.458986,0.9
5400,0.845289,0.7
5500,0.369705,0.9
5600,0.385557,0.8
5700,0.622107,0.6
5800,0.921785,0.6
5900,0.400361,0.9
6000,0.594593,0.7
6100,0.779933,0.8
6200,0.563443,0.7
6300,0.59432,0.9
6400,0.323714,0.9
6500,1.31882,0.8
6600,0.309278,0.9
6700,0.652688,0.6
6800,1.36368,0.8
6900,0.408629,0.7
7000,0.596268,0.5
7100,0.986747,0.5
7200,0.616304,0.7
7300,0.570255,0.7
7400,0.63803,0.7
7500,0.576547,0.6
7600,0.278709,0.9
7700,0.337869,0.9
7800,0.404157,0.7
7900,0.87908,0.7
8000,0.72599,0.6
8100,0.290573,0.9
8200,0.33646,0.9
8300,0.562233,0.8
8400,0.160145,1.0
8500,0.197602,0.9
8600,0.405357,0.8
8700,0.582933,0.7
8800,0.48349,0.9
8900,0.2612,1.0
9000,0.260922,0.9
9100,1.07954,0.8
9200,1.09475,0.8
9300,0.432258,0.9
9400,0.0740172,1.0
9500,0.520756,0.8
9600,0.295557,1.0
9700,0.51248,0.8
9800,0.182994,1.0
9900,0.145414,0.9
10000,0.0566405,1.0
10100,0.746147,0.8
10200,0.729337,0.8
10300,0.2457,0.9
10400,0.909369,0.9
10500,0.677448,0.7
10600,0.230247,0.9
10700,0.44641,0.7
10800,0.468333,0.8
10900,0.264349,0.9
11000,0.684588,0.8
11100,0.58829,0.8
11200,0.549532,0.7
11300,0.361723,0.8
11400,0.448835,0.7
11500,1.72391,0.7
11600,0.257963,0.9
11700,0.437602,0.8
11800,0.325251,0.9
11900,0.442324,0.9
12000,0.193195,1.0
12100,0.616501,0.7
12200,0.382022,0.8
12300,0.953017,0.9
